image,output,timestamp
"{""background"": "".gradio/flagged/image/a8dc253a9f74ea6ae4be/background.png"", ""layers"": ["".gradio/flagged/image/c92cd256ed232a83cfbf/layer_0.png""], ""composite"": "".gradio/flagged/image/f25b1ec921bed1b087c7/composite.png"", ""id"": null}","{""label"": null, ""confidences"": null}",2025-10-16 17:40:17.575178
"{""background"": "".gradio/flagged/image/5258ca3ffc1575f438af/background.png"", ""layers"": ["".gradio/flagged/image/9348a425ae94381e1ec4/layer_0.png""], ""composite"": "".gradio/flagged/image/464103ed73e73f18a8c4/composite.png"", ""id"": null}","{""label"": null, ""confidences"": null}",2025-10-16 17:43:31.818370
